candidate,competition_id,season_id,log_loss,score_nll
ALL-FC,eng-championship,2015-2016,7.444743267637222e-06,0.0004627640064969185
C1-BMA,eng-championship,2015-2016,-0.0002582733886922206,0.0001347505994213627
C1-FC,eng-championship,2015-2016,7.444743267637222e-06,0.0004627640064969185
C2-BMA,eng-championship,2015-2016,0.0006478364099342659,0.0011654685662367825
C2-FC,eng-championship,2015-2016,0.0005392860857198478,0.0011378594659285923
level-s0.04-form-s0.10,eng-championship,2015-2016,0.0008326791441890524,0.0012120929653365309
level-s0.04-form-s0.15,eng-championship,2015-2016,0.0032018376303939444,0.004917407634231097
level-s0.06-form-s0.10,eng-championship,2015-2016,0.0005392860857198478,0.0011378594659285923
level-s0.06-form-s0.15,eng-championship,2015-2016,0.003233619479501515,0.005259464137791436
r0.85-s0.06,eng-championship,2015-2016,0.001747992010065147,0.0018439769574438714
r0.85-s0.12,eng-championship,2015-2016,7.444743267637222e-06,0.0004627640064969185
r0.95-s0.06,eng-championship,2015-2016,8.801183206674779e-06,0.0002221973952059031
r0.95-s0.09,eng-championship,2015-2016,-0.000997884973825025,-0.0007113286555071596
r0.95-s0.12,eng-championship,2015-2016,-0.0006218498277832385,0.00017992124689936162
r1.00-s0.06,eng-championship,2015-2016,-0.0007371639036739541,-0.0004086799553295606
r1.00-s0.09,eng-championship,2015-2016,-0.0013961129430468677,-0.0009217310272906509
r1.00-s0.12,eng-championship,2015-2016,-0.0008577676429579739,0.00015184839526849458
ALL-FC,eng-championship,2016-2017,-0.0013184760800051265,0.0007932098661931342
C1-BMA,eng-championship,2016-2017,-0.0008501967403136135,0.0006271157316044551
C1-FC,eng-championship,2016-2017,-0.0013184760800051265,0.0007932098661931342
C2-BMA,eng-championship,2016-2017,-0.0013261429868796082,0.000384360886240831
C2-FC,eng-championship,2016-2017,-0.0013959957172853255,0.0006545323487521237
level-s0.04-form-s0.10,eng-championship,2016-2017,-0.0011873159618780438,-8.484390777452333e-05
level-s0.04-form-s0.15,eng-championship,2016-2017,-0.0013079060608347515,0.0038058057072567486
level-s0.06-form-s0.10,eng-championship,2016-2017,-0.0013959957172853255,0.0006545323487521237
level-s0.06-form-s0.15,eng-championship,2016-2017,-0.0011262190042782283,0.004694051328308468
r0.85-s0.06,eng-championship,2016-2017,0.002630481789906769,0.0006992718772220741
r0.85-s0.12,eng-championship,2016-2017,-0.0013184760800051265,0.0007932098661931342
r0.95-s0.06,eng-championship,2016-2017,0.0022025082895000825,0.000528092879182207
r0.95-s0.09,eng-championship,2016-2017,-9.987281265622094e-05,0.00032050196149580046
r0.95-s0.12,eng-championship,2016-2017,-0.001275019057262794,0.0013018798188810798
r1.00-s0.06,eng-championship,2016-2017,0.0021169621029841768,0.0006507679441982717
r1.00-s0.09,eng-championship,2016-2017,-6.383326810222023e-05,0.000613879898594849
r1.00-s0.12,eng-championship,2016-2017,-0.0011922443503005198,0.0016490381961000722
ALL-FC,eng-championship,2017-2018,-0.00235693415252336,-0.0017562337950680629
C1-BMA,eng-championship,2017-2018,-0.0017856983053792241,-0.0013430941247802863
C1-FC,eng-championship,2017-2018,-0.00235693415252336,-0.0017562337950680629
C2-BMA,eng-championship,2017-2018,-0.002259879982387636,-0.0013301422340705749
C2-FC,eng-championship,2017-2018,-0.002589632799786079,-0.0015916962655047051
level-s0.04-form-s0.10,eng-championship,2017-2018,-0.0016328463845958208,-0.0008562811893106925
level-s0.04-form-s0.15,eng-championship,2017-2018,-0.0033786135282432017,-0.00015007807287625852
level-s0.06-form-s0.10,eng-championship,2017-2018,-0.002589632799786079,-0.0015916962655047051
level-s0.06-form-s0.15,eng-championship,2017-2018,-0.003690284930993659,-0.00010228281523438909
r0.85-s0.06,eng-championship,2017-2018,0.0042258378507125105,0.004385272781816774
r0.85-s0.12,eng-championship,2017-2018,-0.00235693415252336,-0.0017562337950680629
r0.95-s0.06,eng-championship,2017-2018,0.002711868143850271,0.00243306156845291
r0.95-s0.09,eng-championship,2017-2018,-0.0007205478217480188,-0.0008756866774377592
r0.95-s0.12,eng-championship,2017-2018,-0.002620947315292943,-0.0020284139268391677
r1.00-s0.06,eng-championship,2017-2018,0.002028769655456175,0.0015820788920946072
r1.00-s0.09,eng-championship,2017-2018,-0.0010239011721000502,-0.001217314995506591
r1.00-s0.12,eng-championship,2017-2018,-0.0027121177331950186,-0.0020929220433920648
ALL-FC,eng-championship,2018-2019,-0.0006801573102905856,0.0008841359229303514
C1-BMA,eng-championship,2018-2019,-0.0006291416102595093,0.0006377176491216829
C1-FC,eng-championship,2018-2019,-0.0006801573102905856,0.0008841359229303514
C2-BMA,eng-championship,2018-2019,-0.00176545950907947,0.0012705435194364512
C2-FC,eng-championship,2018-2019,-0.0017987646984023442,0.001511852623613752
level-s0.04-form-s0.10,eng-championship,2018-2019,-0.0017666735986996418,0.0008290361293687987
level-s0.04-form-s0.15,eng-championship,2018-2019,-0.0016763740311964703,0.005189466554016864
level-s0.06-form-s0.10,eng-championship,2018-2019,-0.0017987646984023442,0.001511852623613752
level-s0.06-form-s0.15,eng-championship,2018-2019,-0.0014975158327155125,0.006005370158753465
r0.85-s0.06,eng-championship,2018-2019,0.0016558884811408436,0.0005642658611240137
r0.85-s0.12,eng-championship,2018-2019,-0.0006801573102905856,0.0008841359229303514
r0.95-s0.06,eng-championship,2018-2019,0.00035538280562064095,-4.980670094223427e-05
r0.95-s0.09,eng-championship,2018-2019,-0.0007353356288699597,-4.9895242050013167e-05
r0.95-s0.12,eng-championship,2018-2019,-0.0010552064136073458,0.001119547725363823
r1.00-s0.06,eng-championship,2018-2019,-0.00012733396422937027,-0.00011957750146818213
r1.00-s0.09,eng-championship,2018-2019,-0.0009928935149179363,8.119290909691657e-05
r1.00-s0.12,eng-championship,2018-2019,-0.0011683400030497726,0.0013473773225132213
ALL-FC,eng-championship,2019-2020,6.035147025884591e-05,-0.00014420605289355848
C1-BMA,eng-championship,2019-2020,-0.0002868134802829214,-0.0008844664046456785
C1-FC,eng-championship,2019-2020,6.035147025884591e-05,-0.00014420605289355848
C2-BMA,eng-championship,2019-2020,0.001621126748049484,0.0010430890427772788
C2-FC,eng-championship,2019-2020,0.002037813226400953,0.0016792879872244981
level-s0.04-form-s0.10,eng-championship,2019-2020,0.002037813226400953,0.0016792879872244981
level-s0.04-form-s0.15,eng-championship,2019-2020,0.0029975407273601373,0.0026042375633661408
level-s0.06-form-s0.10,eng-championship,2019-2020,0.0014051517729731788,0.0007417193779524212
level-s0.06-form-s0.15,eng-championship,2019-2020,0.0027592007591374923,0.002387216848448226
r0.85-s0.06,eng-championship,2019-2020,0.001606201813137087,0.003163850361624476
r0.85-s0.12,eng-championship,2019-2020,-0.0003016201915015948,-0.0011986835767086035
r0.95-s0.06,eng-championship,2019-2020,0.001469310451830852,0.00264645305283695
r0.95-s0.09,eng-championship,2019-2020,-1.2247512196639221e-05,-0.00016012280506849663
r0.95-s0.12,eng-championship,2019-2020,-0.0002718389461744408,-0.0011768134466265678
r1.00-s0.06,eng-championship,2019-2020,0.001499859646642454,0.0025047265298931976
r1.00-s0.09,eng-championship,2019-2020,6.035147025884591e-05,-0.00014420605289355848
r1.00-s0.12,eng-championship,2019-2020,-0.00019523954774958163,-0.0010885633351098711
ALL-FC,eng-championship,2020-2021,0.0009595201430336875,0.00020509633566634378
C1-BMA,eng-championship,2020-2021,0.0001831406890824283,0.00023272898188819724
C1-FC,eng-championship,2020-2021,0.0009595201430336875,0.00020509633566634378
C2-BMA,eng-championship,2020-2021,0.00027074676085270255,0.0010044764312624466
C2-FC,eng-championship,2020-2021,0.0002569049151213143,0.0010100301614355267
level-s0.04-form-s0.10,eng-championship,2020-2021,0.00030399869228814325,0.0009981651709476402
level-s0.04-form-s0.15,eng-championship,2020-2021,0.0004692316366736726,0.003472854233017131
level-s0.06-form-s0.10,eng-championship,2020-2021,0.0002569049151213143,0.0010100301614355267
level-s0.06-form-s0.15,eng-championship,2020-2021,0.0008015601390418681,0.003974832346116397
r0.85-s0.06,eng-championship,2020-2021,0.0013669715924131687,0.0017355254644875195
r0.85-s0.12,eng-championship,2020-2021,-5.6476525540638534e-05,0.00023538811029677476
r0.95-s0.06,eng-championship,2020-2021,0.0018779165279163568,0.0014130483276035832
r0.95-s0.09,eng-championship,2020-2021,0.0005627061139226175,2.878884052215369e-05
r0.95-s0.12,eng-championship,2020-2021,0.0005144990622278911,0.00044110895764415403
r1.00-s0.06,eng-championship,2020-2021,0.0023058246851455078,0.0014868624410406817
r1.00-s0.09,eng-championship,2020-2021,0.0009595201430336875,0.00020509633566634378
r1.00-s0.12,eng-championship,2020-2021,0.0008829572624007298,0.0006618071561028671
ALL-FC,eng-championship,2021-2022,-0.00049575828400239,-0.0008148205631473004
C1-BMA,eng-championship,2021-2022,-0.00018016979905000063,-0.00047806734500133174
C1-FC,eng-championship,2021-2022,-0.00049575828400239,-0.0008148205631473004
C2-BMA,eng-championship,2021-2022,-0.0022697497848813697,-0.004059707220553488
C2-FC,eng-championship,2021-2022,-0.002254310389103953,-0.00404308442046597
level-s0.04-form-s0.10,eng-championship,2021-2022,-0.002300494175572876,-0.004112818698081444
level-s0.04-form-s0.15,eng-championship,2021-2022,-0.002974485284637396,-0.004686717180681033
level-s0.06-form-s0.10,eng-championship,2021-2022,-0.002254310389103953,-0.00404308442046597
level-s0.06-form-s0.15,eng-championship,2021-2022,-0.0027276926278512192,-0.004231870766552515
r0.85-s0.06,eng-championship,2021-2022,0.000934738997419915,0.0016625781921755234
r0.85-s0.12,eng-championship,2021-2022,-0.00049575828400239,-0.0008148205631473004
r0.95-s0.06,eng-championship,2021-2022,0.0013885304209224625,0.0016567400090417017
r0.95-s0.09,eng-championship,2021-2022,0.0006557432842926314,0.0003896976574107036
r0.95-s0.12,eng-championship,2021-2022,0.00026907370646145345,-0.0001886111570086335
r1.00-s0.06,eng-championship,2021-2022,0.0017008692133060332,0.0017926109791654987
r1.00-s0.09,eng-championship,2021-2022,0.0010396645416042016,0.0006797835221186155
r1.00-s0.12,eng-championship,2021-2022,0.0006893294129355354,0.00019110161672131198
ALL-FC,eng-championship,2022-2023,0.0008280601922070474,0.0007424100516049137
C1-BMA,eng-championship,2022-2023,0.0006990006880247535,0.0005716624233942369
C1-FC,eng-championship,2022-2023,0.0008280601922070474,0.0007424100516049137
C2-BMA,eng-championship,2022-2023,0.001652427922648192,0.0010044072861314923
C2-FC,eng-championship,2022-2023,0.001670837986998075,0.0011683782104867646
level-s0.04-form-s0.10,eng-championship,2022-2023,0.0015183257915591941,0.0006362551640428649
level-s0.04-form-s0.15,eng-championship,2022-2023,0.004444324079438955,0.004469282598788649
level-s0.06-form-s0.10,eng-championship,2022-2023,0.001670837986998075,0.0011683782104867646
level-s0.06-form-s0.15,eng-championship,2022-2023,0.004705381521952212,0.005213398995735474
r0.85-s0.06,eng-championship,2022-2023,0.00025286978016025863,0.0006491675997630786
r0.85-s0.12,eng-championship,2022-2023,0.0008280601922070474,0.0007424100516049137
