candidate,slice,matches,log_loss,log_loss_low,log_loss_high,brier,score_nll,score_nll_low,score_nll_high
level-s0.04-form-s0.10,all,22132,-0.0009352184460678787,-0.0014290688598620654,-0.0004224724299906924,-0.0006387784306047596,-0.000632099762036236,-0.0012224066520444025,-3.9572956721061227e-05
level-s0.04-form-s0.10,eng-premier-league,4180,-0.002319086910041271,-0.0036436494652061814,-0.001028602770869954,-0.0015660740206666552,-0.002261043115850352,-0.0038352038307446355,-0.0005581137898086539
level-s0.04-form-s0.10,eng-championship,6072,-0.0005633315971762629,-0.0013912184772109583,0.0002485255876968804,-0.0004310082176983447,-0.00022408177123401415,-0.0012114312947833145,0.0007584335209153717
level-s0.04-form-s0.10,eng-league-one,5920,-0.0011300434281537332,-0.0018686787973342788,-0.00036124056433831905,-0.0007416069431302925,-0.0008548092580952152,-0.0018368435492248372,8.729735721026427e-05
level-s0.04-form-s0.10,eng-league-two,5960,-0.0001500108744425195,-0.0009694275611712491,0.0007208470015525494,-9.796305680574523e-05,0.0003158764452558897,-0.0006776000839976862,0.001219330004197443
level-s0.04-form-s0.10,EFL,17952,-0.000612994171368192,-0.0011164046875658295,-0.00012374947580739935,-0.0004228640162521124,-0.0002528114811236356,-0.0008357233807135799,0.00033767260794044
level-s0.04-form-s0.10,entrant matches,9189,-0.0009980244409499837,-0.001799463264056743,-0.00023055058444938973,-0.0006551369978884569,-0.0003455440696548292,-0.0012570557594927857,0.0005422841129694738
level-s0.04-form-s0.10,continuing matches,12943,-0.0008906287615301624,-0.001481019053521096,-0.00027364903392149414,-0.0006271645176966321,-0.0008355425695223481,-0.0015203223681981442,-0.0001471962995438521
level-s0.04-form-s0.10,first 10 matches,5109,-0.00022427709723753798,-0.001524530873916021,0.0009769406703614488,-0.00022195394837752763,0.000571986601121168,-0.0009353194325277224,0.0019350303196548758
level-s0.04-form-s0.10,later matches,17023,-0.0011485885542259126,-0.0016866040231789162,-0.0005908440427244769,-0.000763877195787097,-0.0009934742100989262,-0.0016138565952357124,-0.00035806228694692166
level-s0.04-form-s0.10,top-quintile club,8379,-0.0009794920799108488,-0.001778694750695994,-0.00013952650439474158,-0.0006092461408043171,-0.0002850539713146609,-0.0012996905852530672,0.0007618630150901291
level-s0.04-form-s0.10,bottom-quintile club,8379,-0.0010277950473709114,-0.0017885707672723192,-0.00023935363625338487,-0.0006967883741486122,-0.0007724691139157555,-0.0016481680673745287,0.00015585104592181015
level-s0.04-form-s0.10,middle only,7359,-0.0008725517186187712,-0.001695614594084302,-3.639874302008892e-05,-0.0006213130694309245,-0.000794094919616079,-0.0018532574953915874,0.00023078452551036606
level-s0.04-form-s0.15,all,22132,-0.0006338298163564106,-0.0016698300597702376,0.0004360981347150842,-0.0004328221346316861,0.0012499325802091989,7.624304339915113e-05,0.0024551595034420113
level-s0.04-form-s0.15,eng-premier-league,4180,-0.001344071010849153,-0.003489684331145948,0.0008597579895601745,-0.0009266173086125175,-0.00016706334250284703,-0.0027487953205759413,0.0027292065582214995
level-s0.04-form-s0.15,eng-championship,6072,-0.00017040903332048968,-0.0019422425199824482,0.001585990588409533,-0.00019646882657738487,0.0019093657964927404,-0.00021953928944490095,0.003943599451692387
